Label,SinhalaText
a,අ
aa,ආ
aaa,ඈ
aba,අඹ
ae,ඇ
akka,අක්කා
amma,අම්මා
apple,ඇපල්
b,බ්
bonawa,බොනවා
capital_J,ඡ්
capital_L,ළ්
capital_N,ණ්
ch,ච්
chocolate,චොකලට්
coca_cola,කොකා කෝලා
d,ඩ්
denawa,දෙනවා
dh,ද්
duwa,දුව
e,එ
ee,ඒ
g,ග්
h,හ්
hadanawa,හදනවා
i,ඉ
ii,ඊ
j,ජ්
jj,ජ්ජ්
k,ක්
kanawa,කනවා
kapanawa,කපනවා
katha_karanawa,කතා කරනවා
kesel,කෙසෙල්
l,ල්
m,ම්
malli,මල්ලී
malu,මාලු
mama,මම
miladi_gannawa,මිලදී ගන්නවා
n,න්
o,ඔ
oo,ඕ
oya,ඔයා
p,ප්
palathuru,පළතුරු
putha,පුතා
r,‍ර්
s,ස්
sh,ශ්
sisil_beema,සිසිල් බීම
t,ට්
th,ත්
thaththa,තාත්තා
the,තේ
u,උ
uu,ඌ
uyanawa,උයනවා
w,ව්
wathura,වතුර
wikunanawa,විකුණනවා
y,‍ය්
